water_body_id,water_body_code,water_body_desc,location_id,location_code,location_desc,shape,upper_rm,lower_rm,section
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,024D0359-4072-40F0-AB77-DE2DCA41EF5C,RM 209,NA,NA,209,209,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,3EFE5A2F-A062-49E2-9518-2A507EC28C24,RM 210,NA,NA,210,210,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,E4120E7E-3D89-4E68-93F2-53C4315022A9,RM 211,NA,NA,211,211,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,29A83BB9-9B04-490F-819C-EC3BCA85AFCC,RM 212,NA,NA,212,212,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,6FBF6A10-591C-4F8A-9F38-19008B798E8B,RM 213,NA,NA,213,213,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,D7AA2B59-6848-49AF-9FC3-AFCC867E6C69,"RM 213, OR",NA,NA,213,213,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,7103F087-DD66-4874-9591-9E4178EFD496,RM 214,NA,NA,214,214,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,09EE33B8-BA7E-4C3C-9731-87434AEFC616,"RM 214, OR",NA,NA,214,214,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,6008AE9F-2F38-4796-AE27-537AABD2C0D8,RM 215,NA,NA,215,215,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,0FA1D94A-1607-4A4B-94EA-4512D9A5DC44,RM 216,NA,NA,216,216,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,25AE23BD-61E0-4BF0-BC7C-9BABC3A39186,Section 1 TD,RM 214,NA,216,214,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,6BD81E87-1B1F-47AE-A7EB-573D40873816,Section 3 TD-a,RM 205,NA,213,205,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,6AA423F5-C4F5-418D-8A1F-11A6671060D9,Section 3 TD-b,RM 192,NA,202,192,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,0AB3FBFE-C477-41C4-9DC5-440526ADFBBD,Section 2 TD,RM 204,NA,204,204,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,7C49AB24-AF2D-4869-B0CE-0E82CB472833,elevator - John Day Dam,RM 214,NA,216,214,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,EB1E9934-BBB7-4FE0-8D24-9548982C3CB8,"Rufus Park, OR",RM 215,NA,216,215,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,BB1C379D-D84D-454B-9489-62D463B4F2C1,"Cliff Park Gravel Bar, WA",RM 215,NA,215,215,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,DF55C499-0032-4718-BF7A-0CB003DD7328,"Celilo Park, OR",RM 202,NA,202,202,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,62FB86B6-6826-4704-A29F-70CE29DDD29C,Hwy 97 Bridge - OR,RM 209,NA,209,209,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,A4B8CF80-23DC-4C08-9A05-265DA9EA12D7,"Gravel Pit Park, OR",RM 213,NA,213,213,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,003AC90F-3AAD-4E91-8253-C2B83C6B7891,"Railroad Bridge, OR",RM 201,NA,201,201,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,2A0FFFBC-FBA8-4A88-812E-8DF021205063,Rufus Grain Elevator,RM 214,NA,214,214,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,854DA140-69D3-4FB2-B1A1-5324C3BFCB79,"Powerline Tower, WA",RM 216,NA,216,216,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,514818B2-EAD0-4673-97A5-F39C4BACF0B6,"The Dalles Dam Ramp, WA",RM 191,NA,191,191,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,5A06BD31-A798-4FAB-AE46-5C888FDA8881,"Railroad Tunnel, WA",RM 204,NA,204,204,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,6DDBB2D4-46BD-4BA0-A308-F7653A2FABB4,"North Channel 206, WA",RM 206,NA,206,206,NA
14D68C1B-E9A3-42DD-AEA7-F0A42C33F7ED,Dalles Pool,The Dalles Pool Reservoir,A87FA4F1-41AE-4437-9D61-0BF03BAF7C4C,"Railroad Access Road 208, WA",RM 208,NA,208,208,NA
