water_body_desc,location_code,section
Skagit River,Riverfront Park,1
Skagit River,South Skagit Highway Stretch,1
Skagit River,Baker River Boat Ramp,1
Skagit River,Fabers North Access area and ramp,1
Skagit River,Jackman Creek bridge,1
Skagit River,Martin Launch (primitive Ramp across from Howard Miller Park),1
Skagit River,Howard Miller Steelhead Park ramp,1
Skagit River,Fabers South Access area and ramp,1
Skagit River,Big Timber log sign to Ovenells Heritage Inn driveway,1
Skagit River,Swift/Sutter rest stop,1
Skagit River,101 hole (Car Body hole access point),1
Skagit River,Chapel Hole,1
Skagit River,Marblemount Bridge (Witham Boat Ramp),1
Skagit River,Little eddy and Big eddy accesses,1
Skagit River,Steelhead Club,1
Skagit River,Dalles bridge to Marblemount bridge,1
Cascade River,Raspberry Hole,
Cascade River,Rockport-Cascade Road Bridge,
Cascade River,Marblemount Hatchery parking lot,
Cascade River,Jordan Creek Bridge,
Cascade River,From mouth to Rockport-Cascade Rd. Bridge,
Baker Lake,Shannon Creek ramp and campground,
Baker Lake,Swift Creek ramp and campground,
Baker Lake,Panorama Point ramp and campground,
Baker Lake,Horseshoe Cove ramp and campground,
Baker Lake,Kulshan Boat ramp and campgrounds,
Baker Lake,Baker Lake,
Samish River,From the mouth (Bayview-Edison Rd.) to Thomas Rd. Bridge,
Sauk River,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge) CRC (828),2
Sauk River,Darrington Sauk-Prairie Road bridge (aka Darrington Mill Bridge),2
Sauk River,Bryson Road access parking area,2
Sauk River,Bryson Road to USFS Lower Sauk Ramp along Hwy 530,2
Sauk River,USFS Lower Sauk Ramp,2
Sauk River,Lower Sauk Ramp bridge to Government Bridge along HWY 530,2
Sauk River,Government Bridge Ramp,2
Sauk River,Government Bridge down to Hippie Bar,2
Sauk River,Hippie Bar downstream to Wagon Trail,2
Skykomish River,Confluence of Skykomish and Snoqualmie to the Confluence of the North and South Fork Skykomish,
Skykomish River,High Bridge Sky,
Skykomish River,Reiter Ponds,
Skykomish River,Sultan Boat Launch,
Skykomish River,Cracker Bar,
Skykomish River,Ben Howard Road,
Skykomish River,Ben Howard Access,
Skykomish River,Hanson’s,
Skykomish River,Al Borlin Park,
Skykomish River,Lewis Street Launch,
Skykomish River,Tualco,
Skykomish River,Cable Hole,
Skykomish River,Proctor,
Skykomish River,Simmons,
Skykomish River,Wallace River to the confluence of the N and South forks,
Skykomish River,mouth to Wallace River,
Snohomish River,Rotary Park,
Snohomish River,RR Crossing to the Confluence of Skykomish and Snoqualmie,
Snohomish River,Mainstem,
Snohomish River,Lower mainstem,
Snohomish River,Tester Rd/Lord Hill,
Snohomish River,west 522,
Snohomish River,Bob Heirman,
Snohomish River,Oscar Hoover,
Snohomish River,Lawson's,
Snohomish River,Mouth of Pilchuck,
Snohomish River,Cady Park- Snohomish,
Snohomish River,Lincoln St launch,
Snohomish River,Field's Riffle,
Snohomish River,Lowell Rd,
Snohomish River,Ebby waterfront park,
Snohomish River,Dagmar,
Snohomish River,Langus,
Snoqualmie River,High Bridge on Snoqualmie,
Snoqualmie River,Taylor's Landing,
Snoqualmie River,Chinook Bend Natural Area,
Snoqualmie River,Carnation Farms Bridge,
Snoqualmie River,Saddlers Access,
Snoqualmie River,McDonald Park,
Snoqualmie River,Tolt Hill Boat Launch,
Snoqualmie River,Richters Boat Ramp,
Snoqualmie River,Neal Rd,
Snoqualmie River,Zurfleuh Boat Launch,
Snoqualmie River,SE David Powell Rd,
Snoqualmie River,Plum Boat Access,
Snoqualmie River,Tokul Mouth Plum Access,
Snoqualmie River,Quigley Taylor Park,
Wallace River,Mainstem,
Wallace River,Wallace Fish Hatchery,
Wallace River,Highway 2,
Stillaguamish River,mouth to Hwy 530 (Cicero),
Stillaguamish River,Mainstem from Marine Drive upstream to forks,
Stillaguamish River,Mainstem and all sloughs d/s of Marine Drive (south of Stanwood),
Stillaguamish River,Twin Rivers Park,
Stillaguamish River,Haller Park,
Stillaguamish River,Blue Stilly Park,
Stillaguamish River,Pilchuck Creek Mouth,
Stillaguamish River,Mainstem Stilly Access,
Stillaguamish River,Norman Road,
Tolt River,Tolt Hill Boat Launch,
Tolt River,HWY 203 Bridge,
Tolt River,King County Access,
Tolt River,WDFW Access,
Tokul Creek,SE Fish Hatchery Bridge,
Tokul Creek,Tokul Hatchery,
Tokul Creek,Tokul Mouth Plum Access,
Nooksack River - North Fork,Rutsatz Rd Stretch,
Nooksack River - North Fork,Kendall Hatchery,
Nooksack River - North Fork,North Fork Rd Stretch,
Nooksack River - North Fork,Truck Rd (Deming Eagle Park),
Nooksack River - North Fork,Highway 9 Bridge (North Side of Bridge),
Nooksack River - North Fork,From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery CRC (790),
Nooksack River - North Fork,Mile Post 20.1,
Nooksack River - North Fork,Kendall Yellow Pipe,
Nooksack River - North Fork,Mosquito Lake Bridge,
Nooksack River - North Fork,Highway 9 Bridge (South Side and Gravel Bar),
Nooksack River - North Fork,Maple Falls launch,
Nooksack River - North Fork,From the yellow marker at the upstream side of Kendall Hatchery to Maple Creek,
Sauk River,Road washout downstream to Wagon Trail,
Sauk River,Hippie Bar downstream to road washout,
Nooksack River - South Fork,Potter Road bridge,
Nooksack River - South Fork,Pullout downstream of Acme Bridge,
Nooksack River - South Fork,South Fork Park / Hutchinson Creek,
Nooksack River - South Fork,From Skookum Creek downstream to Saxon Rd. bridge,
Nooksack River - South Fork,Acme Bridge access,
Nooksack River - South Fork,From mouth to Skookum Creek,
Nooksack River,FFA high school barn / bus barn,
Nooksack River,Railroad track crossing near intersection of Hwy 542 and Deming Rd.,
Nooksack River,Nugent's Corner,
Nooksack River,From Lummi Indian Reservation boundary to yellow marker at the FFA high school barn in Deming,
Nooksack River,From yellow marker at the FFA high school barn in Deming to confluence of North and South forks,
