water_body,gear_num,angler_type,section_name,section,p_TI,Indirect_TI_Expan
Skagit River,1,bank,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).,1,1,
Skagit River,2,boat,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).,1,1,
