water_body,gear_num,angler_type,section_name,section,p_TI,Indirect_TI_Expan
Nooksack River - North Fork,1,bank,From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery,1,1,
Nooksack River - North Fork,2,boat,From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery,1,1,
