water_body,gear_num,angler_type,location_desc,section,p_TI,Indirect_TI_Expan
Naselle River,1,bank,Above Salme bridge to Hwy 4,1,1,
Naselle River,2,boat,Above Salme bridge to Hwy 4,1,1,
