water_body,gear_num,angler_type,location,section,p_TI,Indirect_TI_Expan
Skagit River,1,Bank,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to mouth of Gilligan Creek,1,1,
Skagit River,1,Bank,From mouth of Gilligan Creek to the Dalles Bridge at Concrete,2,1,
Skagit River,1,Bank,Dalles bridge to Marblemount bridge,3,1,
Sauk River,1,Bank,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge) CRC (828),4,1,
Skagit River,2,Boat,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to mouth of Gilligan Creek,1,1,
Skagit River,2,Boat,From mouth of Gilligan Creek to the Dalles Bridge at Concrete,2,1,
Skagit River,2,Boat,Dalles bridge to Marblemount bridge,3,1,
Sauk River,2,Boat,From mouth to Darrington Bridge (Sauk Prairie Rd. Bridge) CRC (828),4,1,
