water_body_desc,location_code,section,section_name
Naselle River,Big Hill Road (bridge and dead end0,1,Above Salme bridge to Hwy 4
Naselle River,Naselle Hatchery Area,1,Above Salme bridge to Hwy 4
Naselle River,Hwy 4 WDFW Boat Launch,1,Above Salme bridge to Hwy 4
Naselle River,Powerline Access/Below Salme Bridge,1,Above Salme bridge to Hwy 4
Naselle River,Deep River Mainline Above Salme Bridge,1,Above Salme bridge to Hwy 4
Naselle River,Upper Naselle Road,1,Above Salme bridge to Hwy 4
Naselle River,Above Salme bridge to Hwy 4,1,Above Salme bridge to Hwy 4
