water_body,gear_num,angler_type,section_name,section,p_TI,Indirect_TI_Expan
Skykomish River,1,bank,Mouth of the Skykomish to Lewis St. Bridge,1,1,
Skykomish River,2,boat,Mouth of the Skykomish to Lewis St. Bridge,1,1,
Skykomish River,1,bank,Lewis St. Bridge to Wallace River,2,1,
Skykomish River,2,boat,Lewis St. Bridge to Wallace River,2,1,
Skykomish River,1,bank,Wallace River to Big Eddy Park,3,1,
Skykomish River,2,boat,Wallace River to Big Eddy Park,3,1,
Skykomish River,1,bank,Big Eddy park to the confluence of the N and South forks,4,1,
Skykomish River,2,boat,Big Eddy park to the confluence of the N and South forks,4,1,
