event_date,open_section_1
9/16/2021,TRUE
9/17/2021,TRUE
9/18/2021,FALSE
9/19/2021,FALSE
9/20/2021,FALSE
9/21/2021,TRUE
9/22/2021,TRUE
9/23/2021,TRUE
9/24/2021,TRUE
9/25/2021,TRUE
9/26/2021,FALSE
9/27/2021,FALSE
9/28/2021,TRUE
9/29/2021,TRUE
9/30/2021,TRUE
10/1/2021,TRUE
10/2/2021,TRUE
10/3/2021,FALSE
10/4/2021,FALSE
10/5/2021,TRUE
10/6/2021,TRUE
10/7/2021,TRUE
10/8/2021,TRUE
10/9/2021,TRUE
10/10/2021,TRUE
10/11/2021,TRUE
10/12/2021,TRUE
10/13/2021,FALSE
10/14/2021,FALSE
10/15/2021,TRUE
10/16/2021,TRUE
10/17/2021,FALSE
10/18/2021,FALSE
10/19/2021,TRUE
10/20/2021,TRUE
10/21/2021,TRUE
10/22/2021,TRUE
10/23/2021,TRUE
10/24/2021,TRUE
10/25/2021,TRUE
10/26/2021,TRUE
10/27/2021,TRUE
10/28/2021,TRUE
10/29/2021,TRUE
10/30/2021,TRUE
10/31/2021,TRUE
11/1/2021,TRUE
11/2/2021,TRUE
11/3/2021,TRUE
11/4/2021,TRUE
11/5/2021,TRUE
11/6/2021,TRUE
11/7/2021,TRUE
11/8/2021,TRUE
11/9/2021,TRUE
11/10/2021,TRUE
11/11/2021,TRUE
11/12/2021,TRUE
11/13/2021,TRUE
11/14/2021,TRUE
11/15/2021,TRUE
11/16/2021,TRUE
11/17/2021,TRUE
11/18/2021,TRUE
11/19/2021,TRUE
11/20/2021,TRUE
11/21/2021,TRUE
11/22/2021,TRUE
11/23/2021,TRUE
11/24/2021,TRUE
11/25/2021,TRUE
11/26/2021,TRUE
11/27/2021,TRUE
11/28/2021,TRUE
11/29/2021,TRUE
11/30/2021,TRUE
