water_body,gear_num,angler_type,section_name,section,p_TI,Indirect_TI_Expan
Skagit River,1,bank,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to mouth of Gilligan Creek,1,1,
Skagit River,2,boat,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to mouth of Gilligan Creek,1,1,
Skagit River,1,bank,From mouth of Gilligan Creek to the Dalles Bridge at Concrete,2,1,
Skagit River,2,boat,From mouth of Gilligan Creek to the Dalles Bridge at Concrete,2,1,
