event_date,open_section_1,open_section_2
2/1/2021,TRUE,TRUE
2/2/2021,TRUE,TRUE
2/3/2021,FALSE,FALSE
2/4/2021,FALSE,FALSE
2/5/2021,FALSE,FALSE
2/6/2021,TRUE,TRUE
2/7/2021,TRUE,TRUE
2/8/2021,TRUE,TRUE
2/9/2021,TRUE,TRUE
2/10/2021,FALSE,FALSE
2/11/2021,FALSE,FALSE
2/12/2021,FALSE,FALSE
2/13/2021,TRUE,TRUE
2/14/2021,TRUE,TRUE
2/15/2021,TRUE,TRUE
2/16/2021,TRUE,TRUE
2/17/2021,FALSE,FALSE
2/18/2021,FALSE,FALSE
2/19/2021,FALSE,FALSE
2/20/2021,TRUE,TRUE
2/21/2021,TRUE,TRUE
2/22/2021,TRUE,TRUE
2/23/2021,TRUE,TRUE
2/24/2021,FALSE,FALSE
2/25/2021,FALSE,FALSE
2/26/2021,FALSE,FALSE
2/27/2021,TRUE,TRUE
2/28/2021,TRUE,TRUE
3/1/2021,TRUE,TRUE
3/2/2021,TRUE,TRUE
3/3/2021,FALSE,FALSE
3/4/2021,FALSE,FALSE
3/5/2021,FALSE,FALSE
3/6/2021,TRUE,TRUE
3/7/2021,TRUE,TRUE
3/8/2021,TRUE,TRUE
3/9/2021,TRUE,TRUE
3/10/2021,FALSE,FALSE
3/11/2021,FALSE,FALSE
3/12/2021,FALSE,FALSE
3/13/2021,TRUE,TRUE
3/14/2021,TRUE,TRUE
3/15/2021,TRUE,TRUE
3/16/2021,TRUE,TRUE
3/17/2021,FALSE,FALSE
3/18/2021,FALSE,FALSE
3/19/2021,FALSE,FALSE
3/20/2021,TRUE,TRUE
3/21/2021,TRUE,TRUE
3/22/2021,TRUE,TRUE
3/23/2021,TRUE,TRUE
3/24/2021,FALSE,FALSE
3/25/2021,FALSE,FALSE
3/26/2021,FALSE,FALSE
3/27/2021,TRUE,TRUE
3/28/2021,TRUE,TRUE
3/29/2021,TRUE,TRUE
3/30/2021,TRUE,TRUE
3/31/2021,FALSE,FALSE
4/1/2021,FALSE,FALSE
4/2/2021,FALSE,FALSE
4/3/2021,TRUE,TRUE
4/4/2021,TRUE,TRUE
4/5/2021,TRUE,TRUE
4/6/2021,TRUE,TRUE
4/7/2021,FALSE,FALSE
4/8/2021,FALSE,FALSE
4/9/2021,FALSE,FALSE
4/10/2021,TRUE,TRUE
4/11/2021,TRUE,TRUE
4/12/2021,TRUE,TRUE
4/13/2021,TRUE,TRUE
4/14/2021,TRUE,TRUE
4/15/2021,TRUE,TRUE
4/16/2021,TRUE,TRUE
4/17/2021,TRUE,TRUE
4/18/2021,TRUE,TRUE
4/19/2021,TRUE,TRUE
4/20/2021,TRUE,TRUE
4/21/2021,TRUE,TRUE
4/22/2021,TRUE,TRUE
4/23/2021,TRUE,TRUE
4/24/2021,TRUE,TRUE
4/25/2021,TRUE,TRUE
4/26/2021,TRUE,TRUE
4/27/2021,TRUE,TRUE
4/28/2021,TRUE,TRUE
4/29/2021,TRUE,TRUE
4/30/2021,TRUE,TRUE
