water_body_desc,location_code,section_name,section
Nooksack River - North Fork,North Fork Rd Stretch,From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery,1
Nooksack River - North Fork,Rutsatz Rd Stretch,From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery,1
Nooksack River - North Fork,Highway 9 Bridge (North Side of Bridge),From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery,1
Nooksack River - North Fork,Truck Rd (Deming Eagle Park),From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery,1
Nooksack River - North Fork,Kendall Hatchery,From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery,1
Nooksack River - North Fork,Mile Post 20.1,From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery,1
Nooksack River - North Fork,Mosquito Lake Bridge,From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery,1
Nooksack River - North Fork,Highway 9 Bridge (South Side and Gravel Bar),From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery,1
Nooksack River - North Fork,From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery CRC (790),From the Hwy. 9 Bridge to the yellow marker at the upstream side of Kendall Hatchery,1
