event_date,open_section_1
2021-09-16,TRUE
2021-09-17,TRUE
2021-09-18,FALSE
2021-09-19,FALSE
2021-09-20,FALSE
2021-09-21,TRUE
2021-09-22,TRUE
2021-09-23,TRUE
2021-09-24,TRUE
2021-09-25,TRUE
2021-09-26,FALSE
2021-09-27,FALSE
2021-09-28,TRUE
2021-09-29,TRUE
2021-09-30,TRUE
2021-10-01,TRUE
2021-10-02,TRUE
2021-10-03,FALSE
2021-10-04,FALSE
2021-10-05,TRUE
2021-10-06,TRUE
2021-10-07,TRUE
2021-10-08,TRUE
2021-10-09,TRUE
2021-10-10,TRUE
2021-10-11,TRUE
2021-10-12,TRUE
2021-10-13,FALSE
2021-10-14,FALSE
2021-10-15,TRUE
2021-10-16,TRUE
2021-10-17,FALSE
2021-10-18,FALSE
2021-10-19,TRUE
2021-10-20,TRUE
2021-10-21,TRUE
2021-10-22,TRUE
2021-10-23,TRUE
2021-10-24,TRUE
2021-10-25,TRUE
2021-10-26,TRUE
2021-10-27,TRUE
2021-10-28,TRUE
2021-10-29,TRUE
2021-10-30,TRUE
2021-10-31,TRUE
2021-11-01,TRUE
2021-11-02,TRUE
2021-11-03,TRUE
2021-11-04,TRUE
2021-11-05,TRUE
2021-11-06,TRUE
2021-11-07,TRUE
2021-11-08,TRUE
2021-11-09,TRUE
2021-11-10,TRUE
2021-11-11,TRUE
2021-11-12,TRUE
2021-11-13,TRUE
2021-11-14,TRUE
2021-11-15,TRUE
2021-11-16,TRUE
2021-11-17,TRUE
2021-11-18,TRUE
2021-11-19,TRUE
2021-11-20,TRUE
2021-11-21,TRUE
2021-11-22,TRUE
2021-11-23,TRUE
2021-11-24,TRUE
2021-11-25,TRUE
2021-11-26,TRUE
2021-11-27,TRUE
2021-11-28,TRUE
2021-11-29,TRUE
2021-11-30,TRUE
